1:mode 2:adds 3:removes 4:delays 5:barriers 6:executions 7:time 8:violations 9:bad_histories 10:all_histories 11:covered 12:c0_violations 13:c0_bad_histories 14:c0_all_histories 15:c0_covered 16:c1_violations 17:c1_bad_histories 18:c1_all_histories 19:c1_covered 20:c2_violations 21:c2_bad_histories 22:c2_all_histories 23:c2_covered 24:c3_violations 25:c3_bad_histories 26:c3_all_histories 27:c3_covered 28:c4_violations 29:c4_bad_histories 30:c4_all_histories 31:c4_covered
Lin_vs_counting 4 3 4 4 102915 276.89 40213 2117 4716 - 0 0 15 0 3733 101 1129 973 6854 610 3522 1968 15656 1116 4624 2117 33189 1684 4716 2117
Lin_vs_counting 4 4 4 4 213366 810.33 91624 3152 7476 - 0 0 16 0 1172 26 1243 420 2343 197 4097 700 6718 618 6559 3024 33144 1338 7420 3152
Lin_vs_counting 1 1 5 4 774 0.11 0 0 4 - 0 0 2 0 0 0 4 0 0 0 4 0 0 0 4 0 0 0 4 0
Lin_vs_counting 1 2 5 4 6376 1.75 0 0 21 - 0 0 2 0 0 0 15 0 0 0 18 0 0 0 18 0 0 0 18 0
Lin_vs_counting 1 3 5 4 43796 28.77 0 0 160 - 0 0 2 0 0 0 35 0 0 0 81 0 0 0 85 0 0 0 85 0
Lin_vs_counting 1 4 5 4 114986 207.59 0 0 731 - 0 0 2 0 0 0 60 0 0 0 243 0 0 0 308 0 0 0 311 0
Lin_vs_counting 2 1 5 4 7985 2.74 198 6 36 - 0 0 3 0 172 4 28 6 198 6 36 6 198 6 36 6 198 6 36 6
Lin_vs_counting 2 2 5 4 46238 30.08 342 28 258 - 0 0 4 0 124 5 102 20 296 24 234 28 342 28 249 28 342 28 249 28
Lin_vs_counting 2 3 5 4 164568 160.26 2826 82 1022 - 0 0 4 0 219 6 225 42 1040 41 749 82 2745 79 936 82 2826 82 947 82
Lin_vs_counting 2 4 5 4 417347 1030.08 35999 186 2625 - 0 0 4 0 377 6 348 72 3092 50 1400 186 22976 126 1970 186 35831 160 2064 186
Lin_vs_counting 3 1 5 4 58916 47.14 7476 73 317 - 0 0 4 0 2021 14 113 73 7351 63 288 73 7476 73 317 73 7476 73 317 73
Lin_vs_counting 3 2 5 4 177758 214.33 10562 273 1477 - 0 0 7 0 2450 26 367 167 4865 151 1169 273 10421 257 1453 273 10562 273 1477 273
Lin_vs_counting 3 3 5 4 428391 890.64 58485 681 3919 - 0 0 8 0 2409 24 755 221 8511 196 2836 681 41363 499 3768 681 58218 666 3882 681
Lin_vs_counting 3 4 5 4 1079850 3667.25 282071 1611 8391 - 0 0 8 0 3225 27 1186 327 10939 221 4952 1611 86193 629 7490 1611 237212 1236 8012 1611
Lin_vs_counting 4 1 5 4 205520 294.48 48585 454 1460 - 0 0 5 0 3682 19 317 454 36056 193 1083 454 48372 417 1426 454 48585 454 1460 454
Lin_vs_counting 4 2 5 4 425231 1314.94 73438 1235 4779 - 0 0 11 0 7235 59 924 527 18762 355 3455 1235 58204 821 4609 1235 73141 1183 4768 1235
